Business Group,Description
"Arts, Entertainment, & Recreation","Includes live performances, museums, historical sites and recreational facilities such as golf courses, skiing facilities, marinas, recreational sports and fitness centers, bowling centers, amusement parks, amusement arcades and parlors, casinos, bingo halls, operators of video gaming terminals and operators of lotteries."
Durable Wholesale & Trucking,"Merchants who sell durable goods to other businesses, freight transport, postal and courier services and storage."
Education,"Includes public and private schools, colleges, universities and training centers."
Hotels & Lodging,"Short term lodging facilities, includes hotel restaurants and the other services they offer."
Manufacturing -Electronic Equipment,"Manufacturers of computers and computer peripherals, along with communication and audio/video equipment.  Also encompasses electric lighting and appliance manufacturers, batteries, transformers and power distribution equipment."
Manufacturing - Food & Nondurable Wholesale,"This group includes producers of food, beverages and tobacco products, along with wholesalers who sell non-durable goods to other businesses."
Manufacturing - All Other,"Manufacturers of goods other than electronic equipment or food.  This includes manufacturers of textiles, clothing, printing operations and products from wood, including paper.  Also includes petroleum, coal and chemical manufacturing, along with metal fabrication, machinery, furniture and most publishing industries."
Medical & Health,"This group includes hospitals, nursing and residential facilities, dentists and doctor’s offices, as well as medical and diagnostic laboratories and home health care services."
Public Administration,"Includes most federal, state and local government agencies with the exception of schools, hospitals, some transportation, the operation of utilities, and the Government Printing Office, all of which are in other classifications."
Restaurants,Businesses that prepare food for immediate consumption.  This includes caterers and mobile food services.
Retail Trade - Food & Beverage Stores,"This group is for businesses selling food and beverages from fixed point of sale locations.  This includes grocery stores, specialty food stores and liquor stores."
Retail Trade - All Other,"This group includes retailers selling merchandise other than food and beverage, such as motor cars, furniture, electronics, clothing and gas stations. "
"Services - Management, Administrative, Support, & Social","This group includes agents that arrange for the sale of goods, management companies that assist other companies, social services, and religious and charity promoters."
"Services - Professional, Technical, & Financial","This section includes radio and television broadcasting, telecommunications and other information and technology activities.  Also included are all financial services, real estate, durable goods rental and companies that provide professional, scientific and technical services that use expertise more than equipment."
Services - Repair & Personal,"This group is focused on the repair and maintenance of products such as motor vehicles and other machinery.  Also included are personal services such as pet care, photo finishing and funeral services."
Not Elsewhere Classified,"A large and varied group, ranging from farming through resource extraction, utilities and transportation to waste management."
Multifamily,"Multiple (5 or more) housing units within one building.  Typically in the form of apartments or condominiums, with shared waste collection services."
