,Material Category,Material Type,Jurisdiction(s),Business Group,Total Disposed Tons,Material Tons Disposed,Percent of Disposal,Total Curbside Recycle Tons,Material Tons in Curbside Recycle,Percent of Curbside Recycle,Total Curbside Organics Tons,Material Tons in Curbside Organics,Percent of Curbside Organics,Total Other Diversion Tons,Material Tons in Other Diversion,Percent of Other Diversion,Material Tons Generated (Sum of all Streams),Percent of Total Generation
0,Paper,Uncoated Corrugated Cardboard,Nevada (Countywide),Hotels & Lodging,1918.357249,37.6260339,0.01961367411,258.389096,76.22275531,0.2949921513,17.23498763,0,0,216.689127,66.07820988,0.3049447418,179.9269991,0.0746377417
1,Paper,Paper Bags,Nevada (Countywide),Hotels & Lodging,1918.357249,9.061896454,0.0047237794,258.389096,0.9799672639,0.003792603013,17.23498763,0,0,216.689127,0,0,10.04186372,0.004165589568
2,Paper,Newspaper,Nevada (Countywide),Hotels & Lodging,1918.357249,49.91813937,0.02602129473,258.389096,11.33333474,0.04386150543,17.23498763,0,0,216.689127,0,0,61.2514741,0.02540848081
3,Paper,White Ledger Paper,Nevada (Countywide),Hotels & Lodging,1918.357249,17.94823026,0.009356041616,258.389096,4.030299625,0.01559779297,17.23498763,0,0,216.689127,0,0,21.97852988,0.00911718555
4,Paper,Other Office Paper,Nevada (Countywide),Hotels & Lodging,1918.357249,17.28718471,0.009011452232,258.389096,8.926184796,0.03454551657,17.23498763,0,0,216.689127,0,0,26.21336951,0.0108738917
5,Paper,Magazines and Catalogs,Nevada (Countywide),Hotels & Lodging,1918.357249,11.41346905,0.005949605609,258.389096,9.118332674,0.03528915429,17.23498763,0,0,216.689127,0,0,20.53180172,0.008517050367
6,Paper,Phone Books and Directories,Nevada (Countywide),Hotels & Lodging,1918.357249,1.453816853,0.0007578446893,258.389096,0,0,17.23498763,0,0,216.689127,0,0,1.453816853,0.0006030757325
7,Paper,Other Miscellaneous Paper - Compostable,Nevada (Countywide),Hotels & Lodging,1918.357249,15.50252876,0.008081147956,258.389096,3.082494767,0.01192966272,17.23498763,0,0,216.689127,0,0,18.58502353,0.00770948325
8,Paper,Other Miscellaneous Paper - Other,Nevada (Countywide),Hotels & Lodging,1918.357249,50.8512257,0.02650769335,258.389096,6.889830974,0.02666455776,17.23498763,0,0,216.689127,0,0,57.74105667,0.02395228117
9,Paper,Remainder / Composite Paper - Compostable,Nevada (Countywide),Hotels & Lodging,1918.357249,172.4479539,0.08989355555,258.389096,2.130270161,0.008244427469,17.23498763,0,0,216.689127,1.832375819,0.008456242566,176.4105999,0.07317906071
10,Paper,Remainder / Composite Paper - Other,Nevada (Countywide),Hotels & Lodging,1918.357249,44.71094166,0.02330689014,258.389096,4.298973591,0.01663759678,17.23498763,0,0,216.689127,0,0,49.00991525,0.02033040852
11,Glass,Clear Glass Bottles and Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,36.8265263,0.01919690731,258.389096,6.581590621,0.02547162679,17.23498763,0,0,216.689127,48.65530908,0.2245396885,92.063426,0.03818996729
12,Glass,Green Glass Bottles and Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,46.51149254,0.02424548012,258.389096,8.355162993,0.03233558661,17.23498763,0,0,216.689127,0.4603483198,0.002124464325,55.32700386,0.0229508781
13,Glass,Brown Glass Bottles and Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,21.13721873,0.01101839542,258.389096,5.381445045,0.02082690457,17.23498763,0,0,216.689127,5.196071613,0.02397938321,31.71473539,0.01315598126
14,Glass,Other Glass Colored Bottles and Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,1.639384485,0.0008545772618,258.389096,0,0,17.23498763,0,0,216.689127,0,0,1.639384485,0.0006800533347
15,Glass,Flat Glass,Nevada (Countywide),Hotels & Lodging,1918.357249,8.27202408,0.00431203525,258.389096,0.03237807725,0.0001253074443,17.23498763,0,0,216.689127,0,0,8.304402157,0.003444851669
16,Glass,Remainder / Composite Glass,Nevada (Countywide),Hotels & Lodging,1918.357249,14.87998759,0.007756630105,258.389096,0,0,17.23498763,0,0,216.689127,0,0,14.87998759,0.006172551512
17,Metal,Tin/Steel Cans,Nevada (Countywide),Hotels & Lodging,1918.357249,20.65319304,0.01076608283,258.389096,0.4726985692,0.001829406026,17.23498763,0,0,216.689127,0,0,21.12589161,0.008763492135
18,Metal,Major Appliances,Nevada (Countywide),Hotels & Lodging,1918.357249,10.91968863,0.005692208077,258.389096,0,0,17.23498763,0,0,216.689127,0,0,10.91968863,0.004529730965
19,Metal,Used Oil Filters,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0,0,0,0
20,Metal,Other Ferrous,Nevada (Countywide),Hotels & Lodging,1918.357249,10.04150983,0.005234431614,258.389096,3.444619841,0.01333113469,17.23498763,0,0,216.689127,17.69952883,0.0816816657,31.1856585,0.01293650834
21,Metal,Aluminum Cans,Nevada (Countywide),Hotels & Lodging,1918.357249,6.192900675,0.003228231175,258.389096,0.4523229595,0.00175054972,17.23498763,0,0,216.689127,4.594024077,0.02120099029,11.23924771,0.004662291217
22,Metal,Other Non-Ferrous,Nevada (Countywide),Hotels & Lodging,1918.357249,8.551449272,0.004457693829,258.389096,0.8535814739,0.003303473278,17.23498763,0,0,216.689127,0,0,9.405030746,0.003901417014
23,Metal,Remainder / Composite Metal,Nevada (Countywide),Hotels & Lodging,1918.357249,21.61057446,0.01126514598,258.389096,0.1184081798,0.0004582553275,17.23498763,0,0,216.689127,0.01468954615,6.78E-05,21.74367218,0.009019761326
24,Electronics,Brown Goods,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0.0152087193,7.02E-05,0.0152087193,6.31E-06
25,Electronics,Computer-related Electronics,Nevada (Countywide),Hotels & Lodging,1918.357249,0.1263609099,6.59E-05,258.389096,0,0,17.23498763,0,0,216.689127,4.758812025,0.02196147121,4.885172935,0.002026478947
26,Electronics,Other Small Consumer Electronics,Nevada (Countywide),Hotels & Lodging,1918.357249,0.1895413648,9.88E-05,258.389096,0.1279311437,0.0004951104581,17.23498763,0,0,216.689127,0,0,0.3174725085,0.000131694694
27,Electronics,Video Display Devices,Nevada (Countywide),Hotels & Lodging,1918.357249,0,0,258.389096,0,0,17.23498763,0,0,216.689127,0.1210202114,0.0005584969262,0.1210202114,5.02E-05
28,Plastic,PETE Plastic Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,19.33271029,0.01007774245,258.389096,3.854250535,0.01491645969,17.23498763,0,0,216.689127,6.957473973,0.03210808992,30.14443479,0.01250458547
29,Plastic,HDPE Plastic Containers,Nevada (Countywide),Hotels & Lodging,1918.357249,13.10462875,0.006831172223,258.389096,3.288316609,0.01272622049,17.23498763,0,0,216.689127,0.3970147609,0.001832185889,16.78996012,0.006964850818
